State,Date,Population,Food Wasted (Tonnes),Wastage by Type,Sector,Greenhouse Gas Emissions (CO2eq),Waste Disposal Method,Food Insecurity Rate (%),Cold Chain Infrastructure,Economic Cost of Waste (INR Cr)
Mizoram,2011-03-01,885559,4058.81,"{'Fruits': 1014.7031202564834, 'Vegetables': 1217.64374430778, 'Grains': 811.7624962051868, 'Dairy': 608.82187215389, 'Meat': 202.9406240512967, 'Processed Foods': 202.9406240512967}",Household,3269.14,"{'Landfill': 2485.87470111949, 'Composting': 510.11687177294385, 'Recycling': 646.1284566757188}",27.07,High,19768.75
Nagaland,2011-03-01,1984185,9094.18,"{'Fruits': 2273.5455531072053, 'Vegetables': 2728.2546637286464, 'Grains': 1818.8364424857643, 'Dairy': 1364.1273318643232, 'Meat': 454.7091106214411, 'Processed Foods': 454.7091106214411}",Household,8024.36,"{'Landfill': 4757.009749316869, 'Composting': 1001.6114169436204, 'Recycling': 1795.281145383626}",31.75,Medium,99244.98
Odisha,2011-03-01,41775780,191472.33,"{'Fruits': 47868.082031546575, 'Vegetables': 57441.69843785589, 'Grains': 38294.46562523726, 'Dairy': 28720.849218927946, 'Meat': 9573.616406309315, 'Processed Foods': 9573.616406309315}",Retail,205745.98,"{'Landfill': 132799.88804997964, 'Composting': 43574.964001292115, 'Recycling': 28302.225953220157}",33.34,Low,43993982.93
Punjab,2011-03-01,27495176,126019.56,"{'Fruits': 31504.889241178204, 'Vegetables': 37805.86708941384, 'Grains': 25203.911392942566, 'Dairy': 18902.93354470692, 'Meat': 6300.977848235641, 'Processed Foods': 6300.977848235641}",Retail,144525.48,"{'Landfill': 72783.10637601059, 'Composting': 36642.054798861456, 'Recycling': 19468.72821426416}",16.98,High,19057114.49
Rajasthan,2011-03-01,68531498,314102.7,"{'Fruits': 78525.67592789594, 'Vegetables': 94230.81111347512, 'Grains': 62820.54074231675, 'Dairy': 47115.40555673756, 'Meat': 15705.135185579187, 'Processed Foods': 15705.135185579187}",Food Processing,351273.86,"{'Landfill': 199056.21689653583, 'Composting': 46302.70684655386, 'Recycling': 35529.135830447805}",37.44,High,118392610.17
Sikkim,2011-03-01,531379,2435.49,"{'Fruits': 608.8726946694878, 'Vegetables': 730.6472336033854, 'Grains': 487.0981557355903, 'Dairy': 365.3236168016927, 'Meat': 121.77453893389757, 'Processed Foods': 121.77453893389757}",Household,2704.11,"{'Landfill': 1291.7221424920929, 'Composting': 330.6819066962035, 'Recycling': 444.5337725161346}",25.85,High,7117.94
Tamil Nadu,2011-03-01,70805152,324523.61,"{'Fruits': 81130.90351851707, 'Vegetables': 97357.08422222048, 'Grains': 64904.72281481366, 'Dairy': 48678.54211111024, 'Meat': 16226.180703703414, 'Processed Foods': 16226.180703703414}",Household,261886.28,"{'Landfill': 186711.47282773856, 'Composting': 79137.7833802814, 'Recycling': 34051.795680537994}",19.93,High,126378691.31
Telangana,2011-03-01,34593828,158555.05,"{'Fruits': 39638.76228430124, 'Vegetables': 47566.51474116149, 'Grains': 31711.009827440997, 'Dairy': 23783.257370580744, 'Meat': 7927.752456860249, 'Processed Foods': 7927.752456860249}",Retail,132054.78,"{'Landfill': 109813.82358253888, 'Composting': 37440.628720956374, 'Recycling': 19489.245045525688}",30.41,High,30167644.33
Tripura,2011-03-01,3180337,14576.55,"{'Fruits': 3644.136575901339, 'Vegetables': 4372.963891081607, 'Grains': 2915.309260721071, 'Dairy': 2186.4819455408033, 'Meat': 728.8273151802678, 'Processed Foods': 728.8273151802678}",Hospitality,15058.41,"{'Landfill': 9070.441610255226, 'Composting': 3483.8244162743454, 'Recycling': 2893.051623306767}",18.59,Low,254970.84
Uttar Pradesh,2011-03-01,199163651,912833.4,"{'Fruits': 228208.3503665724, 'Vegetables': 273850.0204398869, 'Grains': 182566.68029325793, 'Dairy': 136925.01021994345, 'Meat': 45641.67007331448, 'Processed Foods': 45641.67007331448}",Hospitality,850974.77,"{'Landfill': 548715.7960026104, 'Composting': 172962.44791829702, 'Recycling': 111298.9720878032}",10.23,Low,999917782.6
Uttarakhand,2011-03-01,10096777,46276.9,"{'Fruits': 11569.223818315064, 'Vegetables': 13883.068581978076, 'Grains': 9255.379054652052, 'Dairy': 6941.534290989038, 'Meat': 2313.844763663013, 'Processed Foods': 2313.844763663013}",Retail,48200.34,"{'Landfill': 28792.588925107226, 'Composting': 11601.64189897585, 'Recycling': 6709.279132332524}",37.07,Medium,2569861.24
West Bengal,2011-03-01,91163077,417830.77,"{'Fruits': 104457.6926771931, 'Vegetables': 125349.23121263171, 'Grains': 83566.1541417545, 'Dairy': 62674.615606315856, 'Meat': 20891.538535438624, 'Processed Foods': 20891.538535438624}",Household,399446.0,"{'Landfill': 281363.2412505081, 'Composting': 85172.02414554427, 'Recycling': 48222.24595530433}",30.05,Low,209499063.54
Andhra Pradesh,2011-04-01,76865183,352298.76,"{'Fruits': 88074.68955467755, 'Vegetables': 105689.62746561306, 'Grains': 70459.75164374204, 'Dairy': 52844.81373280653, 'Meat': 17614.93791093551, 'Processed Foods': 17614.93791093551}",Retail,368101.23,"{'Landfill': 230590.64820542606, 'Composting': 71772.98424498862, 'Recycling': 66090.00277691036}",24.27,Medium,148937298.05
Arunachal Pradesh,2011-04-01,1080088,4950.4,"{'Fruits': 1237.6012180744533, 'Vegetables': 1485.121461689344, 'Grains': 990.0809744595626, 'Dairy': 742.560730844672, 'Meat': 247.52024361489066, 'Processed Foods': 247.52024361489066}",Food Processing,4809.0,"{'Landfill': 3075.209529730131, 'Composting': 1132.3574158379668, 'Recycling': 806.2061898680962}",20.62,High,29407.81
Assam,2011-04-01,26127521,119751.14,"{'Fruits': 29937.785532937665, 'Vegetables': 35925.342639525195, 'Grains': 23950.228426350135, 'Dairy': 17962.671319762598, 'Meat': 5987.557106587534, 'Processed Foods': 5987.557106587534}",Food Processing,136795.42,"{'Landfill': 70528.99103554786, 'Composting': 33518.460589497045, 'Recycling': 22083.020814586638}",20.3,Medium,17208403.25
Bihar,2011-04-01,105361161,482905.32,"{'Fruits': 120726.3307879501, 'Vegetables': 144871.5969455401, 'Grains': 96581.06463036008, 'Dairy': 72435.79847277005, 'Meat': 24145.26615759002, 'Processed Foods': 24145.26615759002}",Food Processing,550225.92,"{'Landfill': 270117.57863564754, 'Composting': 80131.9716762886, 'Recycling': 52783.621287643284}",10.85,Medium,279837061.35
Chhattisgarh,2011-04-01,25413440,116478.27,"{'Fruits': 29119.567449661452, 'Vegetables': 34943.48093959374, 'Grains': 23295.653959729163, 'Dairy': 17471.74046979687, 'Meat': 5823.913489932291, 'Processed Foods': 5823.913489932291}",Food Processing,130785.01,"{'Landfill': 62945.765306571506, 'Composting': 31733.447967971657, 'Recycling': 11708.23632529677}",32.72,Medium,16280624.8
Goa,2011-04-01,1327826,6085.87,"{'Fruits': 1521.4680020961935, 'Vegetables': 1825.761602515432, 'Grains': 1217.1744016769549, 'Dairy': 912.880801257716, 'Meat': 304.2936004192387, 'Processed Foods': 304.2936004192387}",Agriculture,6237.31,"{'Landfill': 3663.667559785796, 'Composting': 996.0322203717558, 'Recycling': 645.9751361129256}",25.19,High,44445.41
Gujarat,2011-04-01,59554709,272959.08,"{'Fruits': 68239.77104072816, 'Vegetables': 81887.72524887379, 'Grains': 54591.816832582525, 'Dairy': 40943.86262443689, 'Meat': 13647.954208145631, 'Processed Foods': 13647.954208145631}",Household,291273.16,"{'Landfill': 143499.27563583077, 'Composting': 40397.4693478518, 'Recycling': 40070.83241696073}",27.58,High,89407993.95
Haryana,2011-04-01,25094929,115018.43,"{'Fruits': 28754.607206849425, 'Vegetables': 34505.52864821931, 'Grains': 23003.685765479542, 'Dairy': 17252.764324109656, 'Meat': 5750.9214413698855, 'Processed Foods': 5750.9214413698855}",Agriculture,123735.66,"{'Landfill': 65422.06047379477, 'Composting': 28097.439236741146, 'Recycling': 14174.727824647669}",33.44,High,15875086.76
Himachal Pradesh,2011-04-01,5965073,27339.92,"{'Fruits': 6834.980028403249, 'Vegetables': 8201.976034083898, 'Grains': 5467.9840227226, 'Dairy': 4100.988017041949, 'Meat': 1366.99600568065, 'Processed Foods': 1366.99600568065}",Hospitality,30716.54,"{'Landfill': 15825.954856150673, 'Composting': 7609.170891128747, 'Recycling': 4470.233670911332}",26.46,High,896965.48
Jharkhand,2011-04-01,33245227,152373.96,"{'Fruits': 38093.489497668816, 'Vegetables': 45712.18739720258, 'Grains': 30474.791598135052, 'Dairy': 22856.09369860129, 'Meat': 7618.697899533763, 'Processed Foods': 7618.697899533763}",Household,181674.28,"{'Landfill': 84657.936792753, 'Composting': 20470.457541416858, 'Recycling': 20828.622651995716}",26.61,Medium,27861387.69
Karnataka,2011-04-01,60503002,277305.43,"{'Fruits': 69326.3575834823, 'Vegetables': 83191.62910017876, 'Grains': 55461.08606678584, 'Dairy': 41595.81455008938, 'Meat': 13865.27151669646, 'Processed Foods': 13865.27151669646}",Food Processing,332472.89,"{'Landfill': 178341.0883447746, 'Composting': 59458.333017298064, 'Recycling': 29566.033719419986}",21.49,High,92277962.03
Kerala,2011-04-01,32971657,151120.1,"{'Fruits': 37780.024790626136, 'Vegetables': 45336.02974875136, 'Grains': 30224.01983250091, 'Dairy': 22668.01487437568, 'Meat': 7556.004958125228, 'Processed Foods': 7556.004958125228}",Household,153115.09,"{'Landfill': 89712.21602558688, 'Composting': 28057.57715468845, 'Recycling': 26716.71538985438}",28.22,Low,27404741.25
Madhya Pradesh,2011-04-01,71904618,329562.83,"{'Fruits': 82390.70823117143, 'Vegetables': 98868.84987740572, 'Grains': 65912.56658493714, 'Dairy': 49434.42493870286, 'Meat': 16478.141646234286, 'Processed Foods': 16478.141646234286}",Food Processing,390125.55,"{'Landfill': 229779.06924884894, 'Composting': 58516.67927655264, 'Recycling': 36172.65284584578}",36.44,Medium,130333993.01
Maharashtra,2011-04-01,110184032,505010.15,"{'Fruits': 126252.53699917432, 'Vegetables': 151503.04439900917, 'Grains': 101002.02959933947, 'Dairy': 75751.52219950459, 'Meat': 25250.507399834867, 'Processed Foods': 25250.507399834867}",Retail,440816.43,"{'Landfill': 272837.11963085, 'Composting': 90344.58727031501, 'Recycling': 92002.3518983049}",10.23,Low,306042299.5
Manipur,2011-04-01,2128241,9754.44,"{'Fruits': 2438.610573388906, 'Vegetables': 2926.332688066687, 'Grains': 1950.8884587111247, 'Dairy': 1463.1663440333434, 'Meat': 487.7221146777812, 'Processed Foods': 487.7221146777812}",Retail,11632.4,"{'Landfill': 5274.430378047317, 'Composting': 2566.8227373592276, 'Recycling': 991.2129662123059}",19.98,High,114178.97
Meghalaya,2011-04-01,2323168,10647.86,"{'Fruits': 2661.9641735306236, 'Vegetables': 3194.3570082367482, 'Grains': 2129.571338824499, 'Dairy': 1597.1785041183741, 'Meat': 532.3928347061247, 'Processed Foods': 532.3928347061247}",Agriculture,9354.01,"{'Landfill': 7287.529309242565, 'Composting': 1350.8840549866627, 'Recycling': 1220.9373188990453}",21.86,Low,136052.22
Mizoram,2011-04-01,898104,4116.31,"{'Fruits': 1029.0784048662847, 'Vegetables': 1234.8940858395415, 'Grains': 823.2627238930278, 'Dairy': 617.4470429197708, 'Meat': 205.81568097325695, 'Processed Foods': 205.81568097325695}",Food Processing,3744.09,"{'Landfill': 2553.333704072124, 'Composting': 1054.6058708891455, 'Recycling': 474.8055280039907}",39.78,High,20332.85
Nagaland,2011-04-01,1987514,9109.44,"{'Fruits': 2277.3600732976197, 'Vegetables': 2732.8320879571434, 'Grains': 1821.8880586380958, 'Dairy': 1366.4160439785717, 'Meat': 455.47201465952395, 'Processed Foods': 455.47201465952395}",Household,8972.52,"{'Landfill': 5227.770706817137, 'Composting': 2510.3171342086544, 'Recycling': 1812.786673408471}",26.94,High,99578.28
Odisha,2011-04-01,41587847,190610.97,"{'Fruits': 47652.74155579053, 'Vegetables': 57183.28986694864, 'Grains': 38122.19324463243, 'Dairy': 28591.64493347432, 'Meat': 9530.548311158107, 'Processed Foods': 9530.548311158107}",Retail,216899.44,"{'Landfill': 132263.4936210771, 'Composting': 42725.37863124798, 'Recycling': 29172.175082094123}",28.64,High,43599048.53
Punjab,2011-04-01,28113836,128855.08,"{'Fruits': 32213.77114782805, 'Vegetables': 38656.52537739366, 'Grains': 25771.01691826244, 'Dairy': 19328.26268869683, 'Meat': 6442.75422956561, 'Processed Foods': 6442.75422956561}",Retail,106529.4,"{'Landfill': 84580.4280610302, 'Composting': 16977.779475012663, 'Recycling': 25447.183623938028}",31.47,High,19924359.39
Rajasthan,2011-04-01,69947359,320592.06,"{'Fruits': 80148.01579862372, 'Vegetables': 96177.61895834845, 'Grains': 64118.412638898975, 'Dairy': 48088.809479174226, 'Meat': 16029.603159724744, 'Processed Foods': 16029.603159724744}",Hospitality,265758.47,"{'Landfill': 210096.05713262648, 'Composting': 92579.94276312184, 'Recycling': 49995.01854249398}",28.08,Low,123335125.18
Sikkim,2011-04-01,534957,2451.89,"{'Fruits': 612.9717987835932, 'Vegetables': 735.5661585403118, 'Grains': 490.3774390268745, 'Dairy': 367.7830792701559, 'Meat': 122.59435975671863, 'Processed Foods': 122.59435975671863}",Household,2555.68,"{'Landfill': 1484.608993478246, 'Composting': 296.8776337181598, 'Recycling': 421.9385766194829}",10.59,High,7214.1
Tamil Nadu,2011-04-01,72672094,333080.44,"{'Fruits': 83270.10880627748, 'Vegetables': 99924.13056753298, 'Grains': 66616.08704502198, 'Dairy': 49962.06528376649, 'Meat': 16654.021761255495, 'Processed Foods': 16654.021761255495}",Retail,396641.2,"{'Landfill': 196761.47583268254, 'Composting': 65386.88594022839, 'Recycling': 51365.66913696389}",33.42,Low,133131091.6
Telangana,2011-04-01,35221915,161433.78,"{'Fruits': 40358.44518546623, 'Vegetables': 48430.13422255948, 'Grains': 32286.756148372988, 'Dairy': 24215.06711127974, 'Meat': 8071.689037093247, 'Processed Foods': 8071.689037093247}",Hospitality,133276.63,"{'Landfill': 89682.42198163198, 'Composting': 20992.98112647541, 'Recycling': 31612.328201547913}",39.65,High,31273038.68
Tripura,2011-04-01,3153946,14455.59,"{'Fruits': 3613.897524227601, 'Vegetables': 4336.677029073121, 'Grains': 2891.118019382081, 'Dairy': 2168.3385145365605, 'Meat': 722.7795048455203, 'Processed Foods': 722.7795048455203}",Hospitality,16207.92,"{'Landfill': 7827.768533310951, 'Composting': 3112.1280034275987, 'Recycling': 1977.6336207210031}",17.56,Medium,250756.9
Uttar Pradesh,2011-04-01,199765109,915590.08,"{'Fruits': 228897.52092472016, 'Vegetables': 274677.0251096642, 'Grains': 183118.01673977613, 'Dairy': 137338.5125548321, 'Meat': 45779.50418494403, 'Processed Foods': 45779.50418494403}",Household,990698.29,"{'Landfill': 562854.1567729587, 'Composting': 239199.537127875, 'Recycling': 125494.39832671492}",23.38,High,1005966241.64
Uttarakhand,2011-04-01,9981976,45750.73,"{'Fruits': 11437.681449948699, 'Vegetables': 13725.217739938438, 'Grains': 9150.14515995896, 'Dairy': 6862.608869969219, 'Meat': 2287.53628998974, 'Processed Foods': 2287.53628998974}",Household,43384.5,"{'Landfill': 27482.024527281734, 'Composting': 10780.547226672856, 'Recycling': 5670.210002339824}",28.53,Medium,2511754.69
West Bengal,2011-04-01,91176260,417891.19,"{'Fruits': 104472.79837001713, 'Vegetables': 125367.35804402056, 'Grains': 83578.23869601371, 'Dairy': 62683.67902201028, 'Meat': 20894.559674003427, 'Processed Foods': 20894.559674003427}",Hospitality,396449.91,"{'Landfill': 249816.9282882395, 'Composting': 77154.0607446757, 'Recycling': 46775.456224828886}",16.32,Medium,209559659.51
Andhra Pradesh,2011-05-01,76734176,351698.31,"{'Fruits': 87924.57667966057, 'Vegetables': 105509.49201559268, 'Grains': 70339.66134372847, 'Dairy': 52754.74600779634, 'Meat': 17584.915335932117, 'Processed Foods': 17584.915335932117}",Food Processing,374954.13,"{'Landfill': 230290.73774542124, 'Composting': 51544.723171367834, 'Recycling': 45210.09484080737}",37.05,Medium,148430038.74
Arunachal Pradesh,2011-05-01,1072499,4915.62,"{'Fruits': 1228.9053488356756, 'Vegetables': 1474.6864186028106, 'Grains': 983.1242790685405, 'Dairy': 737.3432093014053, 'Meat': 245.78106976713514, 'Processed Foods': 245.78106976713514}",Hospitality,5453.44,"{'Landfill': 2746.1001748785075, 'Composting': 618.3006066450255, 'Recycling': 934.4948640176164}",32.89,Medium,28996.0
Assam,2011-05-01,26603863,121934.38,"{'Fruits': 30483.593805967754, 'Vegetables': 36580.3125671613, 'Grains': 24386.875044774206, 'Dairy': 18290.15628358065, 'Meat': 6096.7187611935515, 'Processed Foods': 6096.7187611935515}",Food Processing,131325.14,"{'Landfill': 67940.99663375774, 'Composting': 12534.717062900021, 'Recycling': 20012.625204888624}",24.97,Low,17841590.23
Bihar,2011-05-01,105651515,484236.11,"{'Fruits': 121059.028537609, 'Vegetables': 145270.8342451308, 'Grains': 96847.22283008721, 'Dairy': 72635.4171225654, 'Meat': 24211.805707521802, 'Processed Foods': 24211.805707521802}",Food Processing,559334.22,"{'Landfill': 249269.9128353504, 'Composting': 123853.84751796762, 'Recycling': 82030.77696646229}",36.74,Low,281381537.1
Chhattisgarh,2011-05-01,25777557,118147.14,"{'Fruits': 29536.784346437962, 'Vegetables': 35444.141215725555, 'Grains': 23629.42747715037, 'Dairy': 17722.070607862777, 'Meat': 5907.356869287592, 'Processed Foods': 5907.356869287592}",Retail,137190.38,"{'Landfill': 62290.729208173645, 'Composting': 16085.36709488806, 'Recycling': 22690.420435622058}",30.46,Low,16750495.29
Goa,2011-05-01,1345101,6165.05,"{'Fruits': 1541.2622534204895, 'Vegetables': 1849.5147041045873, 'Grains': 1233.0098027363917, 'Dairy': 924.7573520522936, 'Meat': 308.25245068409794, 'Processed Foods': 308.25245068409794}",Retail,5349.51,"{'Landfill': 3540.9883455007744, 'Composting': 1805.6130372134674, 'Recycling': 912.6245570056557}",12.19,Low,45609.4
Gujarat,2011-05-01,60303513,276391.1,"{'Fruits': 69097.77580682392, 'Vegetables': 82917.3309681887, 'Grains': 55278.220645459136, 'Dairy': 41458.66548409435, 'Meat': 13819.555161364784, 'Processed Foods': 13819.555161364784}",Food Processing,229774.13,"{'Landfill': 186694.24012171885, 'Composting': 31153.410979728542, 'Recycling': 46534.769364526626}",30.12,Low,91670450.33
Haryana,2011-05-01,25146929,115256.76,"{'Fruits': 28814.190372535282, 'Vegetables': 34577.028447042336, 'Grains': 23051.35229802823, 'Dairy': 17288.514223521168, 'Meat': 5762.838074507057, 'Processed Foods': 5762.838074507057}",Agriculture,114361.88,"{'Landfill': 70010.5428899186, 'Composting': 31317.37026267473, 'Recycling': 14591.167498452178}",25.79,High,15940945.28
Himachal Pradesh,2011-05-01,6033761,27654.74,"{'Fruits': 6913.68498543563, 'Vegetables': 8296.421982522756, 'Grains': 5530.947988348504, 'Dairy': 4148.210991261378, 'Meat': 1382.736997087126, 'Processed Foods': 1382.736997087126}",Household,26473.1,"{'Landfill': 15352.314902986314, 'Composting': 4769.1483460964255, 'Recycling': 3273.6314604504446}",29.6,Medium,917741.57
Jharkhand,2011-05-01,33270721,152490.81,"{'Fruits': 38122.701449374385, 'Vegetables': 45747.24173924926, 'Grains': 30498.16115949951, 'Dairy': 22873.62086962463, 'Meat': 7624.540289874877, 'Processed Foods': 7624.540289874877}",Hospitality,152460.84,"{'Landfill': 88429.13595652934, 'Composting': 36169.519139224125, 'Recycling': 19174.867078657215}",13.73,Medium,27904135.02
Karnataka,2011-05-01,61147520,280259.47,"{'Fruits': 70064.86730124133, 'Vegetables': 84077.8407614896, 'Grains': 56051.89384099307, 'Dairy': 42038.9203807448, 'Meat': 14012.973460248268, 'Processed Foods': 14012.973460248268}",Food Processing,257096.19,"{'Landfill': 195971.15952180236, 'Composting': 81061.64244015845, 'Recycling': 55855.21544868328}",15.64,Low,94254444.09
Kerala,2011-05-01,33124413,151820.23,"{'Fruits': 37955.0574378724, 'Vegetables': 45546.068925446874, 'Grains': 30364.04595029792, 'Dairy': 22773.034462723437, 'Meat': 7591.01148757448, 'Processed Foods': 7591.01148757448}",Hospitality,152815.58,"{'Landfill': 86874.26462726941, 'Composting': 27504.554832586913, 'Recycling': 22515.915702764814}",13.29,Medium,27659258.59
Madhya Pradesh,2011-05-01,71389365,327201.26,"{'Fruits': 81800.31448645575, 'Vegetables': 98160.3773837469, 'Grains': 65440.2515891646, 'Dairy': 49080.18869187345, 'Meat': 16360.06289729115, 'Processed Foods': 16360.06289729115}",Agriculture,382919.86,"{'Landfill': 211201.44957164084, 'Composting': 84082.92610596445, 'Recycling': 51758.922119687115}",11.41,High,128472795.84
Maharashtra,2011-05-01,114325871,523993.58,"{'Fruits': 130998.39452011335, 'Vegetables': 157198.073424136, 'Grains': 104798.71561609069, 'Dairy': 78599.036712068, 'Meat': 26199.678904022672, 'Processed Foods': 26199.678904022672}",Household,492196.73,"{'Landfill': 262679.1013010158, 'Composting': 126976.14172053225, 'Recycling': 60694.841342043845}",25.65,Medium,329483123.84
Manipur,2011-05-01,2152387,9865.11,"{'Fruits': 2466.2777533422486, 'Vegetables': 2959.5333040106984, 'Grains': 1973.022202673799, 'Dairy': 1479.7666520053492, 'Meat': 493.25555066844976, 'Processed Foods': 493.25555066844976}",Food Processing,8813.04,"{'Landfill': 5123.566973832557, 'Composting': 1392.6536467279068, 'Recycling': 1421.196816818211}",28.42,High,116784.5
Meghalaya,2011-05-01,2299270,10538.32,"{'Fruits': 2634.5806529539745, 'Vegetables': 3161.496783544769, 'Grains': 2107.66452236318, 'Dairy': 1580.7483917723846, 'Meat': 526.916130590795, 'Processed Foods': 526.916130590795}",Household,9058.35,"{'Landfill': 5924.951765234359, 'Composting': 2437.3103468036966, 'Recycling': 1954.8527579229733}",32.48,Low,133267.49
Mizoram,2011-05-01,898323,4117.31,"{'Fruits': 1029.3285682965325, 'Vegetables': 1235.194281955839, 'Grains': 823.462854637226, 'Dairy': 617.5971409779195, 'Meat': 205.8657136593065, 'Processed Foods': 205.8657136593065}",Household,4114.46,"{'Landfill': 2867.6469363805104, 'Composting': 463.975456522407, 'Recycling': 593.2014792786744}",19.81,Medium,20342.73
Nagaland,2011-05-01,1952883,8950.72,"{'Fruits': 2237.6791336145843, 'Vegetables': 2685.214960337501, 'Grains': 1790.1433068916676, 'Dairy': 1342.6074801687505, 'Meat': 447.5358267229169, 'Processed Foods': 447.5358267229169}",Retail,9615.32,"{'Landfill': 5701.641603874679, 'Composting': 1725.4088851467848, 'Recycling': 1318.4948188288267}",31.3,High,96138.39
Odisha,2011-05-01,42573201,195127.18,"{'Fruits': 48781.793880951016, 'Vegetables': 58538.15265714122, 'Grains': 39025.435104760814, 'Dairy': 29269.07632857061, 'Meat': 9756.358776190204, 'Processed Foods': 9756.358776190204}",Food Processing,219058.69,"{'Landfill': 124637.56538141408, 'Composting': 51126.69329685342, 'Recycling': 26708.159881237192}",20.72,High,45689537.55
Punjab,2011-05-01,27672822,126833.77,"{'Fruits': 31708.44293544459, 'Vegetables': 38050.131522533506, 'Grains': 25366.754348355673, 'Dairy': 19025.065761266753, 'Meat': 6341.688587088918, 'Processed Foods': 6341.688587088918}",Household,124265.52,"{'Landfill': 66080.19679546462, 'Composting': 20125.58482640184, 'Recycling': 18200.107168620434}",17.16,Low,19304166.79
Rajasthan,2011-05-01,67426621,309038.68,"{'Fruits': 77259.67097480995, 'Vegetables': 92711.60516977194, 'Grains': 61807.73677984797, 'Dairy': 46355.80258488597, 'Meat': 15451.934194961992, 'Processed Foods': 15451.934194961992}",Household,289479.75,"{'Landfill': 169226.7046415688, 'Composting': 68678.09633982311, 'Recycling': 57531.357565766564}",34.58,Low,114605889.78
Sikkim,2011-05-01,542548,2486.68,"{'Fruits': 621.6706574761539, 'Vegetables': 746.0047889713846, 'Grains': 497.33652598092317, 'Dairy': 373.0023944856923, 'Meat': 124.33413149523079, 'Processed Foods': 124.33413149523079}",Retail,2778.25,"{'Landfill': 1521.0870156532442, 'Composting': 426.7239625540344, 'Recycling': 326.7523085876525}",35.37,High,7420.31
Tamil Nadu,2011-05-01,71915009,329610.46,"{'Fruits': 82402.61481136955, 'Vegetables': 98883.13777364347, 'Grains': 65922.09184909564, 'Dairy': 49441.56888682173, 'Meat': 16480.52296227391, 'Processed Foods': 16480.52296227391}",Household,299940.85,"{'Landfill': 208102.92462814818, 'Composting': 57039.63865358794, 'Recycling': 54584.20393858536}",36.77,Low,130371665.81
Telangana,2011-05-01,35856767,164343.52,"{'Fruits': 41085.87949249296, 'Vegetables': 49303.055390991554, 'Grains': 32868.70359399437, 'Dairy': 24651.527695495777, 'Meat': 8217.175898498592, 'Processed Foods': 8217.175898498592}",Agriculture,147036.27,"{'Landfill': 88677.794114249, 'Composting': 26007.610688387347, 'Recycling': 28417.141192976203}",22.92,Low,32410550.28
Tripura,2011-05-01,3183200,14589.67,"{'Fruits': 3647.4174871681666, 'Vegetables': 4376.9009846018, 'Grains': 2917.9339897345335, 'Dairy': 2188.4504923009, 'Meat': 729.4834974336334, 'Processed Foods': 729.4834974336334}",Hospitality,13413.41,"{'Landfill': 8218.004053840215, 'Composting': 3743.4630790868237, 'Recycling': 2048.4878058163504}",28.27,High,255430.16
Uttar Pradesh,2011-05-01,201633272,924152.5,"{'Fruits': 231038.12500600005, 'Vegetables': 277245.75000720005, 'Grains': 184830.50000480004, 'Dairy': 138622.87500360003, 'Meat': 46207.62500120001, 'Processed Foods': 46207.62500120001}",Hospitality,964057.39,"{'Landfill': 538901.8383352213, 'Composting': 233080.28211863938, 'Recycling': 140448.28845979177}",28.44,Medium,1024869411.96
Uttarakhand,2011-05-01,9920505,45468.98,"{'Fruits': 11367.245360644583, 'Vegetables': 13640.6944327735, 'Grains': 9093.796288515667, 'Dairy': 6820.34721638675, 'Meat': 2273.4490721289167, 'Processed Foods': 2273.4490721289167}",Retail,47891.8,"{'Landfill': 30943.596359229316, 'Composting': 6895.1741680668965, 'Recycling': 5106.98019405463}",10.72,Low,2480913.93
West Bengal,2011-05-01,90446235,414545.25,"{'Fruits': 103636.31208297497, 'Vegetables': 124363.57449956995, 'Grains': 82909.04966637999, 'Dairy': 62181.787249784975, 'Meat': 20727.262416594996, 'Processed Foods': 20727.262416594996}",Agriculture,437414.09,"{'Landfill': 273442.2057550429, 'Composting': 117567.0494654883, 'Recycling': 51976.634741306225}",34.62,Low,206217315.5
Andhra Pradesh,2011-06-01,76487453,350567.49,"{'Fruits': 87641.87371674649, 'Vegetables': 105170.24846009578, 'Grains': 70113.49897339719, 'Dairy': 52585.12423004789, 'Meat': 17528.374743349297, 'Processed Foods': 17528.374743349297}",Agriculture,317402.07,"{'Landfill': 200512.20860169773, 'Composting': 40068.66750170031, 'Recycling': 46751.70087786747}",38.66,Medium,147477082.15
Arunachal Pradesh,2011-06-01,1094465,5016.3,"{'Fruits': 1254.0746495218148, 'Vegetables': 1504.8895794261778, 'Grains': 1003.2597196174519, 'Dairy': 752.4447897130889, 'Meat': 250.81492990436297, 'Processed Foods': 250.81492990436297}",Hospitality,4557.89,"{'Landfill': 3372.414399362442, 'Composting': 564.6625257975471, 'Recycling': 780.8136536115983}",33.58,Medium,30195.9
Assam,2011-06-01,26921072,123388.25,"{'Fruits': 30847.062593069862, 'Vegetables': 37016.47511168383, 'Grains': 24677.65007445589, 'Dairy': 18508.237555841915, 'Meat': 6169.412518613973, 'Processed Foods': 6169.412518613973}",Retail,135261.73,"{'Landfill': 61707.15410716714, 'Composting': 27888.19399486112, 'Recycling': 22291.90181839152}",39.41,Low,18269592.4
